"plot","event","year","doy","date","genus","species"
"EM1","ffd",1993,154,"1993-06-03","Claytonia","lanceolata"
"EM1","ffd",1994,155,"1994-06-04","Claytonia","lanceolata"
"EM1","ffd",1995,166,"1995-06-15","Claytonia","lanceolata"
"EM1","ffd",1996,145,"1996-05-24","Claytonia","lanceolata"
"EM1","ffd",1997,142,"1997-05-22","Claytonia","lanceolata"
"EM1","ffd",1998,141,"1998-05-21","Claytonia","lanceolata"
"EM1","ffd",1999,144,"1999-05-24","Claytonia","lanceolata"
"EM1","ffd",2000,134,"2000-05-13","Claytonia","lanceolata"
"EM1","ffd",2001,135,"2001-05-15","Claytonia","lanceolata"
"EM1","ffd",2002,118,"2002-04-28","Claytonia","lanceolata"
"EM1","ffd",2003,142,"2003-05-22","Claytonia","lanceolata"
"EM1","ffd",2004,130,"2004-05-09","Claytonia","lanceolata"
"EM1","ffd",2005,144,"2005-05-24","Claytonia","lanceolata"
"EM1","ffd",2006,132,"2006-05-12","Claytonia","lanceolata"
"EM1","ffd",2007,120,"2007-04-30","Claytonia","lanceolata"
"EM1","ffd",2008,164,"2008-06-12","Claytonia","lanceolata"
"EM1","ffd",2009,133,"2009-05-13","Claytonia","lanceolata"
"EM1","ffd",1974,195,"1974-07-14","Delphinium","barbeyi"
"EM1","ffd",1975,201,"1975-07-20","Delphinium","barbeyi"
"EM1","ffd",1977,187,"1977-07-06","Delphinium","barbeyi"
"EM1","ffd",1979,195,"1979-07-14","Delphinium","barbeyi"
"EM1","ffd",1980,194,"1980-07-12","Delphinium","barbeyi"
"EM1","ffd",1981,188,"1981-07-07","Delphinium","barbeyi"
"EM1","ffd",1982,202,"1982-07-21","Delphinium","barbeyi"
"EM1","ffd",1983,201,"1983-07-20","Delphinium","barbeyi"
"EM1","ffd",1984,204,"1984-07-22","Delphinium","barbeyi"
"EM1","ffd",1985,188,"1985-07-07","Delphinium","barbeyi"
"EM1","ffd",1986,187,"1986-07-06","Delphinium","barbeyi"
"EM1","ffd",1987,187,"1987-07-06","Delphinium","barbeyi"
"EM1","ffd",1988,185,"1988-07-03","Delphinium","barbeyi"
"EM1","ffd",1989,186,"1989-07-05","Delphinium","barbeyi"
"EM1","ffd",1991,194,"1991-07-13","Delphinium","barbeyi"
"EM1","ffd",1992,189,"1992-07-07","Delphinium","barbeyi"
"EM1","ffd",1993,200,"1993-07-19","Delphinium","barbeyi"
"EM1","ffd",1994,182,"1994-07-01","Delphinium","barbeyi"
"EM1","ffd",1995,205,"1995-07-24","Delphinium","barbeyi"
"EM1","ffd",1996,193,"1996-07-11","Delphinium","barbeyi"
"EM1","ffd",1997,188,"1997-07-07","Delphinium","barbeyi"
"EM1","ffd",1998,195,"1998-07-14","Delphinium","barbeyi"
"EM1","ffd",1999,191,"1999-07-10","Delphinium","barbeyi"
"EM1","ffd",2000,184,"2000-07-02","Delphinium","barbeyi"
"EM1","ffd",2001,189,"2001-07-08","Delphinium","barbeyi"
"EM1","ffd",2002,184,"2002-07-03","Delphinium","barbeyi"
"EM1","ffd",2003,192,"2003-07-11","Delphinium","barbeyi"
"EM1","ffd",2004,188,"2004-07-06","Delphinium","barbeyi"
"EM1","ffd",2005,195,"2005-07-14","Delphinium","barbeyi"
"EM1","ffd",2006,182,"2006-07-01","Delphinium","barbeyi"
"EM1","ffd",2008,212,"2008-07-30","Delphinium","barbeyi"
"EM1","ffd",2009,190,"2009-07-09","Delphinium","barbeyi"
"EM1","ffd",1981,182,"1981-07-01","Descurainia","richardsonii"
"EM1","ffd",1982,195,"1982-07-14","Descurainia","richardsonii"
"EM1","ffd",1987,182,"1987-07-01","Descurainia","richardsonii"
"EM1","ffd",1988,181,"1988-06-29","Descurainia","richardsonii"
"EM1","ffd",1989,190,"1989-07-09","Descurainia","richardsonii"
"EM1","ffd",2007,210,"2007-07-29","Descurainia","richardsonii"
"EM1","ffd",1974,165,"1974-06-14","Draba","aurea"
"EM1","ffd",1975,177,"1975-06-26","Draba","aurea"
"EM1","ffd",1976,167,"1976-06-15","Draba","aurea"
"EM1","ffd",1979,182,"1979-07-01","Draba","aurea"
"EM1","ffd",1980,179,"1980-06-27","Draba","aurea"
"EM1","ffd",1982,192,"1982-07-11","Draba","aurea"
"EM1","ffd",1983,191,"1983-07-10","Draba","aurea"
"EM1","ffd",1985,178,"1985-06-27","Draba","aurea"
"EM1","ffd",1986,177,"1986-06-26","Draba","aurea"
"EM1","ffd",1987,173,"1987-06-22","Draba","aurea"
"EM1","ffd",1988,164,"1988-06-12","Draba","aurea"
"EM1","ffd",1989,159,"1989-06-08","Draba","aurea"
"EM1","ffd",1991,170,"1991-06-19","Draba","aurea"
"EM1","ffd",1992,157,"1992-06-05","Draba","aurea"
"EM1","ffd",1993,176,"1993-06-25","Draba","aurea"
"EM1","ffd",1994,163,"1994-06-12","Draba","aurea"
"EM1","ffd",1995,197,"1995-07-16","Draba","aurea"
"EM1","ffd",1996,174,"1996-06-22","Draba","aurea"
"EM1","ffd",2001,168,"2001-06-17","Draba","aurea"
"EM1","ffd",2002,154,"2002-06-03","Draba","aurea"
"EM1","ffd",1975,221,"1975-08-09","Erigeron","coulteri"
"EM1","ffd",1992,193,"1992-07-11","Erigeron","coulteri"
"EM1","ffd",1974,201,"1974-07-20","Erigeron","elatior"
"EM1","ffd",1982,206,"1982-07-25","Erigeron","elatior"
"EM1","ffd",1986,216,"1986-08-04","Erigeron","elatior"
"EM1","ffd",1987,199,"1987-07-18","Erigeron","elatior"
"EM1","ffd",1974,148,"1974-05-28","Erythronium","grandiflorum"
"EM1","ffd",1975,160,"1975-06-09","Erythronium","grandiflorum"
"EM1","ffd",1976,157,"1976-06-05","Erythronium","grandiflorum"
"EM1","ffd",1977,156,"1977-06-05","Erythronium","grandiflorum"
"EM1","ffd",1979,159,"1979-06-08","Erythronium","grandiflorum"
"EM1","ffd",1980,163,"1980-06-11","Erythronium","grandiflorum"
"EM1","ffd",1981,148,"1981-05-28","Erythronium","grandiflorum"
"EM1","ffd",1982,157,"1982-06-06","Erythronium","grandiflorum"
"EM1","ffd",1983,163,"1983-06-12","Erythronium","grandiflorum"
"EM1","ffd",1984,165,"1984-06-13","Erythronium","grandiflorum"
"EM1","ffd",1985,150,"1985-05-30","Erythronium","grandiflorum"
"EM1","ffd",1986,151,"1986-05-31","Erythronium","grandiflorum"
"EM1","ffd",1987,137,"1987-05-17","Erythronium","grandiflorum"
"EM1","ffd",1988,146,"1988-05-25","Erythronium","grandiflorum"
"EM1","ffd",1989,143,"1989-05-23","Erythronium","grandiflorum"
"EM1","ffd",1991,156,"1991-06-05","Erythronium","grandiflorum"
"EM1","ffd",1993,159,"1993-06-08","Erythronium","grandiflorum"
"EM1","ffd",1994,155,"1994-06-04","Erythronium","grandiflorum"
"EM1","ffd",1995,172,"1995-06-21","Erythronium","grandiflorum"
"EM1","ffd",1996,153,"1996-06-01","Erythronium","grandiflorum"
"EM1","ffd",1997,154,"1997-06-03","Erythronium","grandiflorum"
"EM1","ffd",1998,147,"1998-05-27","Erythronium","grandiflorum"
"EM1","ffd",1999,152,"1999-06-01","Erythronium","grandiflorum"
"EM1","ffd",2000,146,"2000-05-25","Erythronium","grandiflorum"
"EM1","ffd",2001,143,"2001-05-23","Erythronium","grandiflorum"
"EM1","ffd",2003,146,"2003-05-26","Erythronium","grandiflorum"
"EM1","ffd",2004,140,"2004-05-19","Erythronium","grandiflorum"
"EM1","ffd",2005,148,"2005-05-28","Erythronium","grandiflorum"
"EM1","ffd",2006,140,"2006-05-20","Erythronium","grandiflorum"
"EM1","ffd",2007,134,"2007-05-14","Erythronium","grandiflorum"
"EM1","ffd",2008,168,"2008-06-16","Erythronium","grandiflorum"
"EM1","ffd",2009,141,"2009-05-21","Erythronium","grandiflorum"
"EM1","ffd",1974,185,"1974-07-04","Geranium","richardsonii"
"EM1","ffd",1975,194,"1975-07-13","Geranium","richardsonii"
"EM1","ffd",1979,202,"1979-07-21","Geranium","richardsonii"
"EM1","ffd",1980,190,"1980-07-08","Geranium","richardsonii"
"EM1","ffd",1982,188,"1982-07-07","Geranium","richardsonii"
"EM1","ffd",1983,198,"1983-07-17","Geranium","richardsonii"
"EM1","ffd",1984,193,"1984-07-11","Geranium","richardsonii"
"EM1","ffd",1985,186,"1985-07-05","Geranium","richardsonii"
"EM1","ffd",1986,189,"1986-07-08","Geranium","richardsonii"
"EM1","ffd",1987,189,"1987-07-08","Geranium","richardsonii"
"EM1","ffd",1989,188,"1989-07-07","Geranium","richardsonii"
"EM1","ffd",1991,187,"1991-07-06","Geranium","richardsonii"
"EM1","ffd",1992,197,"1992-07-15","Geranium","richardsonii"
"EM1","ffd",1993,203,"1993-07-22","Geranium","richardsonii"
"EM1","ffd",1994,182,"1994-07-01","Geranium","richardsonii"
"EM1","ffd",1995,219,"1995-08-07","Geranium","richardsonii"
"EM1","ffd",1996,186,"1996-07-04","Geranium","richardsonii"
"EM1","ffd",1997,192,"1997-07-11","Geranium","richardsonii"
"EM1","ffd",1998,187,"1998-07-06","Geranium","richardsonii"
"EM1","ffd",1999,203,"1999-07-22","Geranium","richardsonii"
"EM1","ffd",2000,196,"2000-07-14","Geranium","richardsonii"
"EM1","ffd",2001,198,"2001-07-17","Geranium","richardsonii"
"EM1","ffd",2002,168,"2002-06-17","Geranium","richardsonii"
"EM1","ffd",2003,186,"2003-07-05","Geranium","richardsonii"
"EM1","ffd",2005,202,"2005-07-21","Geranium","richardsonii"
"EM1","ffd",2006,198,"2006-07-17","Geranium","richardsonii"
"EM1","ffd",2007,184,"2007-07-03","Geranium","richardsonii"
"EM1","ffd",2008,196,"2008-07-14","Geranium","richardsonii"
"EM1","ffd",1974,201,"1974-07-20","Helianthella","quinquenervis"
"EM1","ffd",1975,204,"1975-07-23","Helianthella","quinquenervis"
"EM1","ffd",1977,187,"1977-07-06","Helianthella","quinquenervis"
"EM1","ffd",1980,201,"1980-07-19","Helianthella","quinquenervis"
"EM1","ffd",1982,206,"1982-07-25","Helianthella","quinquenervis"
"EM1","ffd",1983,213,"1983-08-01","Helianthella","quinquenervis"
"EM1","ffd",1984,207,"1984-07-25","Helianthella","quinquenervis"
"EM1","ffd",1986,199,"1986-07-18","Helianthella","quinquenervis"
"EM1","ffd",1988,199,"1988-07-17","Helianthella","quinquenervis"
"EM1","ffd",1991,203,"1991-07-22","Helianthella","quinquenervis"
"EM1","ffd",1992,193,"1992-07-11","Helianthella","quinquenervis"
"EM1","ffd",1995,219,"1995-08-07","Helianthella","quinquenervis"
"EM1","ffd",1996,203,"1996-07-21","Helianthella","quinquenervis"
"EM1","ffd",1997,204,"1997-07-23","Helianthella","quinquenervis"
"EM1","ffd",1998,203,"1998-07-22","Helianthella","quinquenervis"
"EM1","ffd",1999,196,"1999-07-15","Helianthella","quinquenervis"
"EM1","ffd",2004,224,"2004-08-11","Helianthella","quinquenervis"
"EM1","ffd",2005,204,"2005-07-23","Helianthella","quinquenervis"
"EM1","ffd",2006,196,"2006-07-15","Helianthella","quinquenervis"
"EM1","ffd",2008,212,"2008-07-30","Helianthella","quinquenervis"
"EM1","ffd",2009,192,"2009-07-11","Helianthella","quinquenervis"
"EM1","ffd",2004,212,"2004-07-30","Heliomeris","multiflora"
"EM1","ffd",1974,175,"1974-06-24","Hydrophyllum","fendleri"
"EM1","ffd",1975,194,"1975-07-13","Hydrophyllum","fendleri"
"EM1","ffd",1977,178,"1977-06-27","Hydrophyllum","fendleri"
"EM1","ffd",1979,186,"1979-07-05","Hydrophyllum","fendleri"
"EM1","ffd",1984,187,"1984-07-05","Hydrophyllum","fendleri"
"EM1","ffd",1985,172,"1985-06-21","Hydrophyllum","fendleri"
"EM1","ffd",1986,185,"1986-07-04","Hydrophyllum","fendleri"
"EM1","ffd",1988,171,"1988-06-19","Hydrophyllum","fendleri"
"EM1","ffd",1989,171,"1989-06-20","Hydrophyllum","fendleri"
"EM1","ffd",1991,178,"1991-06-27","Hydrophyllum","fendleri"
"EM1","ffd",1992,178,"1992-06-26","Hydrophyllum","fendleri"
"EM1","ffd",1994,174,"1994-06-23","Hydrophyllum","fendleri"
"EM1","ffd",1995,197,"1995-07-16","Hydrophyllum","fendleri"
"EM1","ffd",1996,176,"1996-06-24","Hydrophyllum","fendleri"
"EM1","ffd",1997,180,"1997-06-29","Hydrophyllum","fendleri"
"EM1","ffd",1998,189,"1998-07-08","Hydrophyllum","fendleri"
"EM1","ffd",1999,179,"1999-06-28","Hydrophyllum","fendleri"
"EM1","ffd",2000,182,"2000-06-30","Hydrophyllum","fendleri"
"EM1","ffd",2002,172,"2002-06-21","Hydrophyllum","fendleri"
"EM1","ffd",2003,168,"2003-06-17","Hydrophyllum","fendleri"
"EM1","ffd",2004,166,"2004-06-14","Hydrophyllum","fendleri"
"EM1","ffd",2005,180,"2005-06-29","Hydrophyllum","fendleri"
"EM1","ffd",2006,158,"2006-06-07","Hydrophyllum","fendleri"
"EM1","ffd",2008,190,"2008-07-08","Hydrophyllum","fendleri"
"EM1","ffd",2009,170,"2009-06-19","Hydrophyllum","fendleri"
"EM1","ffd",1982,199,"1982-07-18","Hymenoxys","hoopesii"
"EM1","ffd",1993,213,"1993-08-01","Hymenoxys","hoopesii"
"EM1","ffd",1994,203,"1994-07-22","Hymenoxys","hoopesii"
"EM1","ffd",1997,202,"1997-07-21","Hymenoxys","hoopesii"
"EM1","ffd",1974,206,"1974-07-25","Ligularia","bigelovii"
"EM1","ffd",1975,218,"1975-08-06","Ligularia","bigelovii"
"EM1","ffd",1979,219,"1979-08-07","Ligularia","bigelovii"
"EM1","ffd",1980,221,"1980-08-08","Ligularia","bigelovii"
"EM1","ffd",1981,206,"1981-07-25","Ligularia","bigelovii"
"EM1","ffd",1982,217,"1982-08-05","Ligularia","bigelovii"
"EM1","ffd",1983,222,"1983-08-10","Ligularia","bigelovii"
"EM1","ffd",1986,216,"1986-08-04","Ligularia","bigelovii"
"EM1","ffd",1987,206,"1987-07-25","Ligularia","bigelovii"
"EM1","ffd",1988,207,"1988-07-25","Ligularia","bigelovii"
"EM1","ffd",1991,214,"1991-08-02","Ligularia","bigelovii"
"EM1","ffd",1992,202,"1992-07-20","Ligularia","bigelovii"
"EM1","ffd",1993,219,"1993-08-07","Ligularia","bigelovii"
"EM1","ffd",1995,244,"1995-09-01","Ligularia","bigelovii"
"EM1","ffd",1996,209,"1996-07-27","Ligularia","bigelovii"
"EM1","ffd",1998,209,"1998-07-28","Ligularia","bigelovii"
"EM1","ffd",1999,231,"1999-08-19","Ligularia","bigelovii"
"EM1","ffd",1980,181,"1980-06-29","Maianthemum","stellatum"
"EM1","ffd",1984,187,"1984-07-05","Maianthemum","stellatum"
"EM1","ffd",1985,172,"1985-06-21","Maianthemum","stellatum"
"EM1","ffd",1986,173,"1986-06-22","Maianthemum","stellatum"
"EM1","ffd",1974,187,"1974-07-06","Mertensia","ciliata"
"EM1","ffd",1975,198,"1975-07-17","Mertensia","ciliata"
"EM1","ffd",1977,181,"1977-06-30","Mertensia","ciliata"
"EM1","ffd",1979,198,"1979-07-17","Mertensia","ciliata"
"EM1","ffd",1980,194,"1980-07-12","Mertensia","ciliata"
"EM1","ffd",1983,204,"1983-07-23","Mertensia","ciliata"
"EM1","ffd",1984,196,"1984-07-14","Mertensia","ciliata"
"EM1","ffd",1986,194,"1986-07-13","Mertensia","ciliata"
"EM1","ffd",1987,191,"1987-07-10","Mertensia","ciliata"
"EM1","ffd",1989,198,"1989-07-17","Mertensia","ciliata"
"EM1","ffd",1991,205,"1991-07-24","Mertensia","ciliata"
"EM1","ffd",1992,185,"1992-07-03","Mertensia","ciliata"
"EM1","ffd",1993,193,"1993-07-12","Mertensia","ciliata"
"EM1","ffd",1994,184,"1994-07-03","Mertensia","ciliata"
"EM1","ffd",1995,219,"1995-08-07","Mertensia","ciliata"
"EM1","ffd",1996,186,"1996-07-04","Mertensia","ciliata"
"EM1","ffd",1997,192,"1997-07-11","Mertensia","ciliata"
"EM1","ffd",1998,181,"1998-06-30","Mertensia","ciliata"
"EM1","ffd",1999,188,"1999-07-07","Mertensia","ciliata"
"EM1","ffd",2000,192,"2000-07-10","Mertensia","ciliata"
"EM1","ffd",1974,146,"1974-05-26","Noccaea","montana"
"EM1","ffd",1975,165,"1975-06-14","Noccaea","montana"
"EM1","ffd",1976,157,"1976-06-05","Noccaea","montana"
"EM1","ffd",1980,169,"1980-06-17","Noccaea","montana"
"EM1","ffd",1981,146,"1981-05-26","Noccaea","montana"
"EM1","ffd",1982,159,"1982-06-08","Noccaea","montana"
"EM1","ffd",1983,168,"1983-06-17","Noccaea","montana"
"EM1","ffd",1984,165,"1984-06-13","Noccaea","montana"
"EM1","ffd",1985,152,"1985-06-01","Noccaea","montana"
"EM1","ffd",1986,155,"1986-06-04","Noccaea","montana"
"EM1","ffd",1987,141,"1987-05-21","Noccaea","montana"
"EM1","ffd",1988,152,"1988-05-31","Noccaea","montana"
"EM1","ffd",1989,143,"1989-05-23","Noccaea","montana"
"EM1","ffd",1991,152,"1991-06-01","Noccaea","montana"
"EM1","ffd",1992,147,"1992-05-26","Noccaea","montana"
"EM1","ffd",1993,161,"1993-06-10","Noccaea","montana"
"EM1","ffd",1994,155,"1994-06-04","Noccaea","montana"
"EM1","ffd",1995,175,"1995-06-24","Noccaea","montana"
"EM1","ffd",1996,155,"1996-06-03","Noccaea","montana"
"EM1","ffd",1997,156,"1997-06-05","Noccaea","montana"
"EM1","ffd",1998,150,"1998-05-30","Noccaea","montana"
"EM1","ffd",1999,152,"1999-06-01","Noccaea","montana"
"EM1","ffd",2000,142,"2000-05-21","Noccaea","montana"
"EM1","ffd",2001,143,"2001-05-23","Noccaea","montana"
"EM1","ffd",2002,128,"2002-05-08","Noccaea","montana"
"EM1","ffd",2003,152,"2003-06-01","Noccaea","montana"
"EM1","ffd",2007,138,"2007-05-18","Noccaea","montana"
"EM1","ffd",2008,172,"2008-06-20","Noccaea","montana"
"EM1","ffd",2009,143,"2009-05-23","Noccaea","montana"
"EM1","ffd",1974,175,"1974-06-24","Pedicularis","bracteosa"
"EM1","ffd",1975,188,"1975-07-07","Pedicularis","bracteosa"
"EM1","ffd",1977,172,"1977-06-21","Pedicularis","bracteosa"
"EM1","ffd",1979,186,"1979-07-05","Pedicularis","bracteosa"
"EM1","ffd",1982,185,"1982-07-04","Pedicularis","bracteosa"
"EM1","ffd",1983,188,"1983-07-07","Pedicularis","bracteosa"
"EM1","ffd",1984,187,"1984-07-05","Pedicularis","bracteosa"
"EM1","ffd",1985,174,"1985-06-23","Pedicularis","bracteosa"
"EM1","ffd",1986,177,"1986-06-26","Pedicularis","bracteosa"
"EM1","ffd",1987,167,"1987-06-16","Pedicularis","bracteosa"
"EM1","ffd",1988,171,"1988-06-19","Pedicularis","bracteosa"
"EM1","ffd",1991,178,"1991-06-27","Pedicularis","bracteosa"
"EM1","ffd",1994,176,"1994-06-25","Pedicularis","bracteosa"
"EM1","ffd",1974,193,"1974-07-12","Potentilla","pulcherrima"
"EM1","ffd",1979,219,"1979-08-07","Potentilla","pulcherrima"
"EM1","ffd",1974,203,"1974-07-22","Pyrrocoma","crocea"
"EM1","ffd",1975,218,"1975-08-06","Pyrrocoma","crocea"
"EM1","ffd",1979,213,"1979-08-01","Pyrrocoma","crocea"
"EM1","ffd",1980,215,"1980-08-02","Pyrrocoma","crocea"
"EM1","ffd",1981,204,"1981-07-23","Pyrrocoma","crocea"
"EM1","ffd",1982,215,"1982-08-03","Pyrrocoma","crocea"
"EM1","ffd",1983,213,"1983-08-01","Pyrrocoma","crocea"
"EM1","ffd",1984,216,"1984-08-03","Pyrrocoma","crocea"
"EM1","ffd",1986,216,"1986-08-04","Pyrrocoma","crocea"
"EM1","ffd",1987,199,"1987-07-18","Pyrrocoma","crocea"
"EM1","ffd",1988,205,"1988-07-23","Pyrrocoma","crocea"
"EM1","ffd",1996,211,"1996-07-29","Pyrrocoma","crocea"
"EM1","ffd",1998,209,"1998-07-28","Pyrrocoma","crocea"
"EM1","ffd",1999,213,"1999-08-01","Pyrrocoma","crocea"
"EM1","ffd",2000,205,"2000-07-23","Pyrrocoma","crocea"
"EM1","ffd",2002,194,"2002-07-13","Pyrrocoma","crocea"
"EM1","ffd",2003,198,"2003-07-17","Pyrrocoma","crocea"
"EM1","ffd",2004,202,"2004-07-20","Pyrrocoma","crocea"
"EM1","ffd",2006,198,"2006-07-17","Pyrrocoma","crocea"
"EM1","ffd",1974,154,"1974-06-03","Ranunculus","inamoenus"
"EM1","ffd",1975,175,"1975-06-24","Ranunculus","inamoenus"
"EM1","ffd",1976,169,"1976-06-17","Ranunculus","inamoenus"
"EM1","ffd",1980,188,"1980-07-06","Ranunculus","inamoenus"
"EM1","ffd",1983,173,"1983-06-22","Ranunculus","inamoenus"
"EM1","ffd",1985,158,"1985-06-07","Ranunculus","inamoenus"
"EM1","ffd",1986,159,"1986-06-08","Ranunculus","inamoenus"
"EM1","ffd",1987,153,"1987-06-02","Ranunculus","inamoenus"
"EM1","ffd",1988,152,"1988-05-31","Ranunculus","inamoenus"
"EM1","ffd",1989,149,"1989-05-29","Ranunculus","inamoenus"
"EM1","ffd",1991,162,"1991-06-11","Ranunculus","inamoenus"
"EM1","ffd",1992,147,"1992-05-26","Ranunculus","inamoenus"
"EM1","ffd",1993,174,"1993-06-23","Ranunculus","inamoenus"
"EM1","ffd",1995,193,"1995-07-12","Ranunculus","inamoenus"
"EM1","ffd",1996,160,"1996-06-08","Ranunculus","inamoenus"
"EM1","ffd",1997,168,"1997-06-17","Ranunculus","inamoenus"
"EM1","ffd",1999,164,"1999-06-13","Ranunculus","inamoenus"
"EM1","ffd",2000,152,"2000-05-31","Ranunculus","inamoenus"
"EM1","ffd",2001,147,"2001-05-27","Ranunculus","inamoenus"
"EM1","ffd",2002,140,"2002-05-20","Ranunculus","inamoenus"
"EM1","ffd",2003,152,"2003-06-01","Ranunculus","inamoenus"
"EM1","ffd",2004,142,"2004-05-21","Ranunculus","inamoenus"
"EM1","ffd",2005,160,"2005-06-09","Ranunculus","inamoenus"
"EM1","ffd",2006,148,"2006-05-28","Ranunculus","inamoenus"
"EM1","ffd",2007,143,"2007-05-23","Ranunculus","inamoenus"
"EM1","ffd",2008,174,"2008-06-22","Ranunculus","inamoenus"
"EM1","ffd",2009,154,"2009-06-03","Ranunculus","inamoenus"
"EM1","ffd",1981,164,"1981-06-13","Rhodiola","rosea"
"EM1","ffd",1977,164,"1977-06-13","Taraxacum","officinale"
"EM1","ffd",1987,167,"1987-06-16","Taraxacum","officinale"
"EM1","ffd",2002,156,"2002-06-05","Taraxacum","officinale"
"EM1","ffd",1979,168,"1979-06-17","Valeriana","capitata"
"EM1","ffd",1980,173,"1980-06-21","Valeriana","capitata"
"EM1","ffd",1981,154,"1981-06-03","Valeriana","capitata"
"EM1","ffd",1982,163,"1982-06-12","Valeriana","capitata"
"EM1","ffd",1983,173,"1983-06-22","Valeriana","capitata"
"EM1","ffd",1984,173,"1984-06-21","Valeriana","capitata"
"EM1","ffd",1985,158,"1985-06-07","Valeriana","capitata"
"EM1","ffd",1986,163,"1986-06-12","Valeriana","capitata"
"EM1","ffd",1987,153,"1987-06-02","Valeriana","capitata"
"EM1","ffd",1988,152,"1988-05-31","Valeriana","capitata"
"EM1","ffd",1989,151,"1989-05-31","Valeriana","capitata"
"EM1","ffd",1997,174,"1997-06-23","Valeriana","edulis"
"EM2","ffd",1974,189,"1974-07-08","Aconitum","columbianum"
"EM2","ffd",1975,208,"1975-07-27","Aconitum","columbianum"
"EM2","ffd",1977,187,"1977-07-06","Aconitum","columbianum"
"EM2","ffd",1979,209,"1979-07-28","Aconitum","columbianum"
"EM2","ffd",1982,202,"1982-07-21","Aconitum","columbianum"
"EM2","ffd",1983,208,"1983-07-27","Aconitum","columbianum"
"EM2","ffd",1984,209,"1984-07-27","Aconitum","columbianum"
"EM2","ffd",1985,195,"1985-07-14","Aconitum","columbianum"
"EM2","ffd",1986,194,"1986-07-13","Aconitum","columbianum"
"EM2","ffd",1987,193,"1987-07-12","Aconitum","columbianum"
"EM2","ffd",1991,203,"1991-07-22","Aconitum","columbianum"
"EM2","ffd",1992,189,"1992-07-07","Aconitum","columbianum"
"EM2","ffd",1993,203,"1993-07-22","Aconitum","columbianum"
"EM2","ffd",1994,197,"1994-07-16","Aconitum","columbianum"
"EM2","ffd",1995,234,"1995-08-22","Aconitum","columbianum"
